siteNum=50
demandLowerBound=0
demandUpperBound=1000
fixedCostLowerBound=500
fixedCostUpperBound=1500
coordinateLowerBound=0
coordinateUpperBound=1
facilityFailProbility=0.05
Coordinate: index, x, y
0,0.2746085962785686,0.6963043976732632
1,0.3794842731692646,0.8017004652067113
2,0.6192937972988954,0.262346018343924
3,0.7959498588501839,0.2984462698612895
4,0.9161951558703537,0.18052931317793297
5,0.058811394375257176,0.5473374849610552
6,0.8061625062974216,0.2597292029083046
7,0.0736345697318549,0.8841912551481346
8,0.32391755915737586,0.4972846718122278
9,0.4407462092176424,0.6732460102523011
10,0.8351256594270293,0.22668074134470428
11,0.04346429284037556,0.09207567085221957
12,0.9987865660583949,0.6899170126736622
13,0.030418243144681334,0.5681925238133994
14,0.5847796373716032,0.21033015136500066
15,0.605360569175773,0.7530511212152435
16,0.7939872881486154,0.30211029875561113
17,0.5789491656343695,0.6442709834441945
18,0.21766404224802283,0.5830473494597013
19,0.5854106783429511,0.2921073390260318
20,0.21427524388501817,0.2493989239061124
21,0.1634774209448805,0.1858494061152226
22,0.6093905892421628,0.8953569277286432
23,0.30379142652902624,0.27123685359673666
24,0.12306564724500213,0.5328596958939713
25,0.02739694491634448,0.011227067356507914
26,0.6799704547500236,0.6849123307371531
27,0.019451258499374346,0.8176623575090654
28,0.799351553965294,0.8291715448587206
29,0.4213835034746535,0.6949388052500737
30,0.17496431397111012,0.521710117678583
31,0.735576158967081,0.8502426919726184
32,0.2707793802788393,0.5409598388881545
33,0.44550060378718115,0.3471366892156229
34,0.10773912592327717,0.5119754851975916
35,0.025695168421761228,0.6934866312418946
36,0.34879458671884334,0.639777752444225
37,0.5451189590843388,0.9795028601972015
38,0.9832355642359634,0.5309616334185202
39,0.6193312011534913,0.4308712965644973
40,0.3709463727604878,0.3229758466816173
41,0.08376296923731796,0.9549322735768314
42,0.5591930710394367,0.8099821710043729
43,0.4589564336889984,0.9489313772265318
44,0.3723289681764761,0.3022696310821241
45,0.001984383910641818,0.7185124330544326
46,0.3594011090217627,0.3408004851716929
47,0.06914297491844157,0.8636127123573657
48,0.623758133246542,0.5836753441202703
49,0.41735320631869766,0.11281150638260529
Demand:index, demand
0,160
1,178
2,690
3,947
4,801
5,240
6,708
7,424
8,481
9,810
10,519
11,293
12,984
13,921
14,772
15,504
16,67
17,854
18,898
19,344
20,846
21,273
22,308
23,108
24,576
25,301
26,444
27,912
28,118
29,411
30,134
31,714
32,578
33,617
34,981
35,778
36,765
37,892
38,207
39,900
40,544
41,733
42,152
43,807
44,105
45,758
46,894
47,231
48,58
49,396
Fixcost:index, fixedCost
0,1104
1,1371
2,876
3,1228
4,992
5,894
6,862
7,627
8,918
9,620
10,589
11,1412
12,1298
13,774
14,1306
15,1272
16,520
17,1103
18,689
19,923
20,1108
21,574
22,1316
23,1253
24,1339
25,978
26,1485
27,758
28,761
29,649
30,1372
31,1498
32,1482
33,519
34,826
35,1397
36,1264
37,922
38,1258
39,1265
40,1045
41,742
42,1030
43,1163
44,649
45,1127
46,543
47,947
48,927
49,1337
TransCost:start_index, end_index, transCost
0,1,0.1486850317106494
0,2,0.5541910886982664
0,3,0.6558107973537907
0,4,0.823199399437942
0,5,0.2622204672261591
0,6,0.6878571508244953
0,7,0.2751218467482759
0,8,0.20503713103237006
0,9,0.16773012747729218
0,10,0.7312494490008044
0,11,0.6469312508510521
0,12,0.7242061381965526
0,13,0.27575637941403686
0,14,0.5765215024677057
0,15,0.3355846513297993
0,16,0.6520300707713876
0,17,0.30875663288769506
0,18,0.12676687739227013
0,19,0.5098756676236165
0,20,0.45095966104972834
0,21,0.5224121328391659
0,22,0.3894879876634503
0,23,0.42606813376345914
0,24,0.22288884211981497
0,25,0.7283162424957791
0,26,0.40552190507111785
0,27,0.28254737910317623
0,28,0.5413029193002884
0,29,0.14678125978845394
0,30,0.20102772346974754
0,31,0.4859918644409415
0,32,0.15539174636805103
0,33,0.3887443464024698
0,34,0.24864144487820064
0,35,0.2489293762798754
0,36,0.0932674798547387
0,37,0.3916340454572762
0,38,0.7276609165043084
0,39,0.4350728737533155
0,40,0.3855582629940671
0,41,0.3214194013359486
0,42,0.3064489507641335
0,43,0.3127371355565402
0,44,0.40597126544424156
0,45,0.2735272527641875
0,46,0.36547613057657935
0,47,0.2649682881465964
0,48,0.3668660557604003
0,49,0.6006995737323609
1,0,0.1486850317106494
