siteNum=50
demandLowerBound=0
demandUpperBound=1000
fixedCostLowerBound=500
fixedCostUpperBound=1500
coordinateLowerBound=0
coordinateUpperBound=1
facilityFailProbility=0.05
Coordinate: index, x, y
0,0.15716474598516383,0.3088158870525063
1,0.9361709509276884,0.3532141878573355
2,0.9008875828599143,0.29917507023249923
3,0.4700648896316826,0.37509969804519283
4,0.8390870741273951,0.4820068691609489
5,0.12345814713072456,0.2673882584424646
6,0.7298023042907243,0.8563065944358025
7,0.5259596144206597,0.014509414956487832
8,0.01574048472247147,0.7568698074486253
9,0.5679319938817027,0.40439058047499776
10,0.7186218736624203,0.8429120358945232
11,0.6796826930052056,0.3795834233703115
12,0.3906848530075808,0.5357508058129414
13,0.4759659666592829,0.751089904350329
14,0.04293566359588241,0.6497149385792078
15,0.7732946018834467,0.008643227720078972
16,0.8467853917858844,0.537569500309044
17,0.6467509392753784,0.052526057612737986
18,0.21209823941216377,0.0017462711123358288
19,0.7871297777567074,0.4637593084458961
20,0.7723210553016905,0.9528213765432454
21,0.3347274747107055,0.6674927979677936
22,0.6764042215789798,0.33556705357967975
23,0.06531577529963917,0.20965941212136707
24,0.774704602014772,0.5519861953375118
25,0.7470063112712304,0.8487852855300395
26,0.317944226668864,0.9323950181365156
27,0.5931194997997472,0.1366401808988612
28,0.01739441755969362,0.7917411683756846
29,0.7376761134869594,0.4462928468493974
30,0.5899904903860397,0.6718908050073568
31,0.4174433738314075,0.8303395415815801
32,0.4526462493034791,0.9473059540910976
33,0.9811556110144916,0.9181180365691498
34,0.9996247100853332,0.6829958020601733
35,0.2100874335406434,0.5171849719218388
36,0.9160783959278768,0.8838070977920105
37,0.4986241653914507,0.2502743147540547
38,0.06084243330027117,0.7309789459579691
39,0.19650711913940055,0.5503097577150053
40,0.429603844962689,0.4991994343982662
41,0.40608098310189855,0.49746190633889054
42,0.029317662743161277,0.9253838565948683
43,0.5721781148825028,0.027475016869654145
44,0.5330925600488073,0.01791237636486187
45,0.745508590824228,0.33446781449894114
46,0.3876855442986128,0.5542212641834796
47,0.4916261131347648,0.2624550018300754
48,0.8271081278333678,0.5971599602256524
49,0.4323928976095972,0.8405844887334578
Demand:index, demand
0,515
1,833
2,272
3,280
4,173
5,572
6,528
7,41
8,68
9,663
10,955
11,939
12,255
13,759
14,904
15,560
16,54
17,747
18,183
19,88
20,582
21,664
22,588
23,744
24,577
25,882
26,124
27,972
28,313
29,208
30,689
31,742
32,638
33,999
34,980
35,881
36,565
37,921
38,169
39,171
40,980
41,939
42,848
43,689
44,618
45,110
46,924
47,453
48,581
49,317
Fixcost:index, fixedCost
0,1263
1,972
2,1012
3,535
4,680
5,834
6,950
7,827
8,840
9,637
10,938
11,721
12,857
13,1347
14,509
15,677
16,809
17,933
18,586
19,1400
20,746
21,1043
22,802
23,554
24,582
25,619
26,1216
27,1058
28,941
29,605
30,720
31,971
32,580
33,1096
34,944
35,932
36,810
37,1424
38,716
39,1176
40,532
41,1005
42,1251
43,720
44,1306
45,1472
46,544
47,818
48,1290
49,1189
TransCost:start_index, end_index, transCost
0,1,0.7802703867591738
0,2,0.7437853208002856
0,3,0.319843779826537
0,4,0.7035717290387725
0,5,0.053407707482961954
0,6,0.7922498645334162
0,7,0.4718325492184269
0,8,0.4698437370616214
0,9,0.4217395570340774
0,10,0.7749147065499976
0,11,0.5272883927743252
0,12,0.3256241663890541
0,13,0.5451976932086774
0,14,0.35952808874314945
0,15,0.6853609448604
0,16,0.7265706095711033
0,17,0.5526111809714574
0,18,0.3119446068354733
0,19,0.6487398593334708
0,20,0.8905955060442067
0,21,0.4002219997153995
0,22,0.5199281276537225
0,23,0.13516005303624296
0,24,0.6636921519925437
0,25,0.7996749486080618
0,26,0.6439728054292421
0,27,0.4687227551154737
0,28,0.5027450368220802
0,29,0.5965679862964495
0,30,0.5649438211575498
0,31,0.5828652385816846
0,32,0.7035473576883055
0,33,1.0247975678432215
0,34,0.9218185287282977
0,35,0.2149848515300043
0,36,0.9521369757010025
0,37,0.34644141032569037
0,38,0.43301228184127005
0,39,0.2446775672041943
0,40,0.3323687075397456
0,41,0.31232453264665805
0,42,0.6296832042853602
0,43,0.5013868582230324
0,44,0.47533837833386205
0,45,0.5889027943062675
0,46,0.336695170116628
0,47,0.3376592036272484
0,48,0.729360294652985
0,49,0.5987723951388513
1,0,0.7802703867591738
1,2,0.06453791363126724
